policyName,reason,applicationName,openTime,component,stage,threatLevel
Security-High,CVE-2016-3674,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,9
Security-High,CVE-2017-7957,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,9
Security-High,CVE-2020-26217,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,9
Security-High,CVE-2020-26258,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,9
Security-High,CVE-2021-21343,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,9
Security-High,CVE-2021-21348,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,9
Security-High,CVE-2021-21349,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,9
Security-High,CVE-2021-43859,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/com.thoughtworks.xstream/xstream@1.4.5?type=jar",release,9
Security-High,CVE-2017-5656,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
Security-High,CVE-2019-10172,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
Security-High,CVE-2021-35517,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
Security-High,CVE-2021-36090,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
Security-High,CVE-2021-37136,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
Security-High,CVE-2021-37137,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
Security-High,sonatype-2021-0789,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
Security-High,sonatype-2021-1694,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
Security-High,sonatype-2021-4682,App1,2022-02-02T16:53:12.487+0000,"pkg:maven/io.openliberty/openliberty-runtime@21.0.0.8?type=zip",release,9
License-Banned,AGPL-3.0,con2,2022-02-21T16:04:32.143+0000,"pkg:maven/com.itextpdf/itextpdf@5.5.13.2?type=jar",build,10
Security-Medium,CVE-2019-12384,con2,2022-02-21T16:04:32.143+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.9.9?type=jar",build,7
Security-Medium,CVE-2019-12814,con2,2022-02-21T16:04:32.143+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.9.9?type=jar",build,7
Security-Medium,sonatype-2016-0397,con2,2022-02-21T16:04:32.143+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-core@2.0.4?type=jar",build,7
Security-High,CVE-2020-25649,con2,2022-02-21T16:04:32.143+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.9.9?type=jar",build,9
Security-High,sonatype-2017-0312,con2,2022-02-21T16:04:32.143+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.9.9?type=jar",build,9
Security-High,sonatype-2017-0355,con2,2022-02-21T16:04:32.143+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-core@2.0.4?type=jar",build,9
Security-Medium,CVE-2000-0535,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2005-1797,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2010-2939,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2011-1473,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-2178,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-6306,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-7055,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3732,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3735,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3736,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3737,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3738,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0734,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0737,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0739,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-5407,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2020-1971,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2021-23841,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Critical,CVE-2016-2177,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-Critical,CVE-2016-2182,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-Critical,CVE-2016-6303,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-High,CVE-2016-2179,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2180,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2181,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2183,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-6302,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-6304,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-8610,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2017-3731,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2018-0732,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2021-23840,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2021-3712,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-0839,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-0842,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-1359,conanapp,2022-01-22T17:45:51.071+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-Medium,CVE-2000-0535,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2005-1797,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2010-2939,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2011-1473,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-2178,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-6306,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-7055,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3732,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3735,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3736,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3737,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3738,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0734,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0737,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0739,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-5407,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2020-1971,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2021-23841,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Critical,CVE-2016-2177,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-Critical,CVE-2016-2182,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-Critical,CVE-2016-6303,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-High,CVE-2016-2179,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2180,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2181,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2183,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-6302,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-6304,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-8610,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2017-3731,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2018-0732,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2021-23840,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2021-3712,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-0839,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-0842,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-1359,conanapp2,2022-01-22T17:46:22.780+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-Medium,CVE-2000-0535,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2005-1797,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2010-2939,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2011-1473,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-2178,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-6306,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2016-7055,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3732,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3735,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3736,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3737,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2017-3738,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0734,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0737,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-0739,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2018-5407,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2020-1971,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Medium,CVE-2021-23841,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,7
Security-Critical,CVE-2016-2177,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-Critical,CVE-2016-2182,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-Critical,CVE-2016-6303,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,10
Security-High,CVE-2016-2179,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2180,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2181,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-2183,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-6302,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-6304,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2016-8610,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2017-3731,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2018-0732,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2021-23840,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,CVE-2021-3712,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-0839,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-0842,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-High,sonatype-2021-1359,conanapp3,2022-01-22T17:46:54.018+0000,"pkg:conan/openssl@1.0.2h",build,9
Security-Medium,CVE-2000-0535,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,7
Security-Medium,CVE-2005-1797,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,7
Security-Medium,CVE-2010-2939,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,7
Security-Medium,CVE-2011-1473,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,7
Security-Medium,CVE-2020-1971,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,7
Security-Medium,CVE-2021-23841,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,7
Security-Medium,CVE-2021-3449,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,7
Security-Critical,CVE-2021-3711,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,10
Security-High,CVE-2021-23840,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,9
Security-High,CVE-2021-3712,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,9
Security-High,sonatype-2021-0839,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,9
Security-High,sonatype-2021-0842,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,9
Security-High,sonatype-2021-1359,conanapp4,2022-01-22T17:47:25.138+0000,"pkg:conan/openssl@1.1.1c",build,9
Security-Medium,CVE-2000-0535,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,7
Security-Medium,CVE-2005-1797,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,7
Security-Medium,CVE-2010-2939,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,7
Security-Medium,CVE-2011-1473,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,7
Security-Medium,CVE-2020-1971,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,7
Security-Medium,CVE-2021-23841,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,7
Security-High,CVE-2016-2183,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,9
Security-High,CVE-2021-23840,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,9
Security-High,CVE-2021-3712,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,9
Security-High,sonatype-2021-0839,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,9
Security-High,sonatype-2021-0842,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,9
Security-High,sonatype-2021-1359,conanapp5,2022-01-22T17:47:56.129+0000,"pkg:conan/openssl@1.0.2s",build,9
License-Banned,AGPL-3.0,cons2,2022-02-21T16:05:19.855+0000,"pkg:maven/com.itextpdf/itextpdf@5.5.13.2?type=jar",build,10
Security-Medium,CVE-2019-12384,cons2,2022-02-21T16:05:19.855+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.9.9?type=jar",build,7
Security-Medium,CVE-2019-12814,cons2,2022-02-21T16:05:19.855+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.9.9?type=jar",build,7
Security-Medium,sonatype-2016-0397,cons2,2022-02-21T16:05:19.855+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-core@2.0.4?type=jar",build,7
Security-High,CVE-2020-25649,cons2,2022-02-21T16:05:19.855+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.9.9?type=jar",build,9
Security-High,sonatype-2017-0312,cons2,2022-02-21T16:05:19.855+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.9.9?type=jar",build,9
Security-High,sonatype-2017-0355,cons2,2022-02-21T16:05:19.855+0000,"pkg:maven/com.fasterxml.jackson.core/jackson-core@2.0.4?type=jar",build,9
License-Banned,AGPL-3.0,consumerapp2,2022-02-21T16:09:07.466+0000,"pkg:maven/com.itextpdf/itextpdf@5.5.13.2?type=jar",build,10
Security-Medium,sonatype-2021-4517,consumerapp2,2022-02-17T17:25:16.664+0000,"pkg:maven/ch.qos.logback/logback-classic@1.0.3?type=jar",build,7
Security-Medium,CVE-2021-22569,consumerapp2,2022-02-17T17:25:16.664+0000,"pkg:maven/com.clickhouse/io.grpc@1.0.0?type=jar",build,7
Security-Medium,sonatype-2020-0926,consumerapp2,2022-02-17T17:25:16.664+0000,"pkg:maven/com.clickhouse/io.grpc@1.0.0?type=jar",build,7
Security-Medium,sonatype-2021-0818,consumerapp2,2022-02-17T17:25:16.664+0000,"pkg:maven/com.clickhouse/io.grpc@1.0.0?type=jar",build,7
Security-Medium,CVE-2016-1000339,consumerapp2,2022-02-17T17:25:16.664+0000,"pkg:maven/org.bouncycastle/bcprov-jdk15on@1.54?type=jar",build,7
Security-Medium,CVE-2016-1000341,consumerapp2,2022-02-17T17:25:16.664+0000,"pkg:maven/org.bouncycastle/bcprov-jdk15on@1.54?type=jar",build,7
Security-Medium,CVE-2016-1000345,consumerapp2,2022-02-17T17:25:16.664+0000,"pkg:maven/org.bouncycastle/bcprov-jdk15on@1.54?type=jar",build,7
